999999 上证指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
03/12/2012	2438.55	2440.86	2420.84	2434.86	106223059	108158107648.000
03/13/2012	2432.84	2457.22	2428.61	2455.79	104649712	102576930816.000
03/14/2012	2464.92	2476.22	2382.84	2391.23	179786029	170736648192.000
03/15/2012	2388.06	2403.74	2366.02	2373.77	120025499	112260874240.000
03/16/2012	2377.76	2406.15	2368.31	2404.74	103675622	102406004736.000
03/19/2012	2401.22	2412.34	2383.67	2410.18	102153490	102981664768.000
03/20/2012	2407.54	2407.54	2376.03	2376.84	97903935	94620917760.000
03/21/2012	2384.71	2396.72	2361.22	2378.20	95686538	94949638144.000
03/22/2012	2376.99	2386.10	2364.13	2375.77	79348880	76900868096.000
03/23/2012	2369.08	2371.26	2342.12	2349.54	76862139	74138714112.000
03/26/2012	2349.09	2358.00	2339.14	2350.60	55427733	54051831808.000
03/27/2012	2358.54	2363.77	2344.30	2347.18	60881116	65159970816.000
03/28/2012	2341.00	2341.42	2281.43	2284.88	83645283	78231142400.000
03/29/2012	2276.74	2280.96	2242.34	2252.16	74248084	68018094080.000
03/30/2012	2256.04	2266.21	2246.25	2262.79	62024147	55962030080.000
04/05/2012	2258.03	2303.82	2251.39	2302.24	80101456	74602340352.000
04/06/2012	2299.05	2309.64	2291.56	2306.55	72136521	68863352832.000
04/09/2012	2300.05	2304.65	2284.44	2285.78	59760639	55129722880.000
04/10/2012	2281.02	2306.39	2258.85	2305.86	67345526	63133962240.000
04/11/2012	2286.72	2319.05	2280.03	2308.93	75130070	67516502016.000
04/12/2012	2310.48	2351.05	2307.84	2350.86	97687895	87315824640.000
04/13/2012	2351.51	2369.70	2346.94	2359.16	98774414	92321431552.000
04/16/2012	2346.31	2364.11	2342.20	2357.03	85322682	73752829952.000
04/17/2012	2355.37	2363.01	2333.34	2334.99	84688445	72470716416.000
04/18/2012	2341.14	2383.64	2337.86	2380.85	108612544	93123035136.000
04/19/2012	2378.63	2386.98	2369.46	2378.63	94272421	89960923136.000
04/20/2012	2374.66	2407.29	2372.13	2406.86	115522062	101772107776.000
04/23/2012	2403.52	2411.51	2383.07	2388.59	122907558	109412433920.000
04/24/2012	2380.24	2415.75	2350.40	2388.83	133722354	117494693888.000
04/25/2012	2382.21	2411.42	2376.63	2406.81	130972867	113070080000.000
04/26/2012	2408.56	2414.75	2393.26	2404.70	115529587	104823226368.000
04/27/2012	2402.43	2408.42	2393.87	2396.32	91228350	84016070656.000
05/02/2012	2421.08	2446.35	2407.79	2438.44	128006006	123975245824.000
05/03/2012	2433.59	2441.95	2427.73	2440.08	102248493	102185836544.000
05/04/2012	2437.47	2453.73	2427.97	2452.01	102204871	102378299392.000
05/07/2012	2441.76	2451.95	2432.74	2451.95	108830107	111395004416.000
05/08/2012	2451.57	2451.60	2431.02	2448.88	104855537	104969658368.000
05/09/2012	2432.47	2432.47	2407.51	2408.59	97902212	99521224704.000
05/10/2012	2409.95	2419.12	2402.20	2410.23	81698471	81054859264.000
05/11/2012	2406.07	2415.98	2393.38	2394.98	74863995	75815755776.000
05/14/2012	2408.26	2411.27	2377.98	2380.73	90526339	89364340736.000
05/15/2012	2367.08	2376.59	2354.61	2374.84	77922916	77334732800.000
05/16/2012	2369.29	2372.03	2344.50	2346.19	76733829	74181722112.000
05/17/2012	2347.18	2383.31	2342.35	2378.89	86870030	81458438144.000
05/18/2012	2364.90	2369.60	2338.24	2344.52	89689419	78956445696.000
05/21/2012	2343.58	2360.39	2330.32	2348.30	74840341	70052962304.000
05/22/2012	2355.73	2374.06	2354.87	2373.31	76779780	75374526464.000
05/23/2012	2369.26	2378.08	2350.55	2363.44	84216580	84886659072.000
05/24/2012	2359.68	2373.06	2344.58	2350.97	79206805	76840599552.000
05/25/2012	2350.54	2355.81	2327.41	2333.55	74019252	68024549376.000
05/28/2012	2325.32	2361.74	2309.07	2361.37	94962105	86735888384.000
