Date,Open,High,Low,Close,Volume,Adj Close
2013-08-09,7.98,8.05,7.91,7.98,10951300,7.98
2013-08-08,7.96,8.00,7.93,7.97,9409100,7.97
2013-08-07,8.03,8.09,7.90,7.97,15930500,7.97
2013-08-06,8.01,8.09,8.00,8.05,9483400,8.05
2013-08-05,8.08,8.08,7.97,8.06,11029500,8.06
2013-08-02,8.12,8.15,8.00,8.06,15608200,8.06
2013-08-01,8.10,8.15,8.05,8.08,12162700,8.08
2013-07-31,8.06,8.11,8.02,8.08,14038100,8.08
2013-07-30,7.87,8.06,7.83,8.05,20954000,8.05
2013-07-29,7.88,7.90,7.80,7.88,17971800,7.88
2013-07-26,7.99,8.00,7.91,7.96,19659600,7.96
2013-07-25,8.07,8.11,7.99,8.01,18779000,8.01
2013-07-24,8.10,8.17,8.05,8.07,14912500,8.07
2013-07-23,8.09,8.19,8.03,8.12,24797800,8.12
2013-07-22,7.98,8.10,7.93,8.08,21526100,8.08
2013-07-19,7.89,8.03,7.84,8.02,32408100,8.02
2013-07-18,7.91,7.92,7.81,7.89,19188300,7.89
2013-07-17,7.97,8.03,7.91,7.92,17297200,7.92
2013-07-16,8.08,8.12,7.93,7.99,19903100,7.99
2013-07-15,8.10,8.15,8.08,8.10,14745500,8.10
2013-07-12,8.13,8.15,8.03,8.12,25917000,8.12
2013-07-11,8.08,8.21,8.03,8.14,44089100,8.14
2013-07-10,8.05,8.13,8.02,8.09,24733200,8.09
2013-07-09,8.03,8.13,7.99,8.10,25979700,8.10
2013-07-08,8.00,8.09,7.93,8.07,35566900,8.07
2013-07-05,7.97,8.07,7.95,8.06,20351600,8.06
2013-07-04,7.98,8.04,7.88,8.04,27540500,8.04
2013-07-03,7.81,8.05,7.80,8.02,39021900,8.02

