999999 上证指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/11/2007	2819.37	2841.18	2763.89	2770.11	129311906	85245698048.000
01/12/2007	2745.32	2782.02	2652.58	2668.11	115652485	74764099584.000
01/15/2007	2660.07	2795.33	2658.88	2794.70	100422384	68342468608.000
01/16/2007	2818.66	2830.80	2757.21	2821.02	118180640	84486053888.000
01/17/2007	2828.40	2870.42	2742.59	2778.90	136587026	98319163392.000
01/18/2007	2760.94	2784.04	2679.71	2756.98	122258653	85799665664.000
01/19/2007	2761.89	2833.45	2761.89	2832.21	131951295	91283693568.000
01/22/2007	2857.90	2934.65	2857.90	2933.19	149619535	104856018944.000
01/23/2007	2964.69	2970.69	2851.92	2949.14	152320761	110637785088.000
01/24/2007	2955.42	2994.28	2927.72	2975.13	130427897	98924625920.000
01/25/2007	2946.50	2947.15	2853.82	2857.36	125886326	94447493120.000
01/26/2007	2805.96	2905.98	2720.83	2882.56	118801145	86160711680.000
01/29/2007	2897.25	2954.34	2885.86	2945.26	122395752	90932969472.000
01/30/2007	2959.40	2980.51	2901.76	2930.56	122196845	89444524032.000
01/31/2007	2926.07	2929.65	2766.75	2786.33	124171107	87820345344.000
02/01/2007	2744.81	2801.69	2706.29	2785.43	101361251	70993395712.000
02/02/2007	2791.49	2796.44	2666.86	2673.21	92265085	66230149120.000
02/05/2007	2658.07	2672.35	2610.33	2612.54	75017572	55458930688.000
02/06/2007	2612.84	2677.04	2541.52	2675.70	95016560	70132072448.000
02/07/2007	2688.96	2745.39	2681.33	2716.18	103915715	78834139136.000
02/08/2007	2725.14	2751.16	2691.27	2737.73	93184171	70419562496.000
02/09/2007	2741.48	2747.94	2704.36	2730.39	85831143	63819620352.000
02/12/2007	2729.84	2807.51	2728.78	2807.17	85771238	64583311360.000
02/13/2007	2819.14	2835.09	2801.31	2831.87	84208530	63091113984.000
02/14/2007	2836.82	2915.06	2823.38	2905.09	101364738	75587551232.000
02/15/2007	2923.67	2994.62	2923.67	2993.01	119152636	88757264384.000
02/16/2007	3018.18	3036.35	2975.83	2998.47	128264323	95921192960.000
02/26/2007	2999.09	3041.34	2960.75	3040.60	120384868	92589899776.000
02/27/2007	3048.83	3049.77	2763.40	2771.79	174726538	131570712576.000
02/28/2007	2734.59	2888.90	2732.88	2881.07	130789415	97059725312.000
03/01/2007	2877.20	2878.35	2760.91	2797.19	133871370	107725570048.000
03/02/2007	2792.94	2846.16	2777.80	2831.53	99136695	75853848576.000
03/05/2007	2827.68	2858.44	2723.06	2785.31	115036906	86327451648.000
03/06/2007	2776.17	2866.33	2756.96	2840.18	82630781	64958636032.000
03/07/2007	2851.75	2911.42	2849.65	2896.59	94891031	75059970048.000
03/08/2007	2904.19	2928.80	2871.46	2928.01	94524428	74766450688.000
03/09/2007	2934.49	2962.42	2891.81	2937.91	114379753	90953564160.000
03/12/2007	2945.92	2958.63	2904.74	2954.91	107483463	86511788032.000
03/13/2007	2958.10	2966.19	2932.23	2964.79	112430900	89548234752.000
03/14/2007	2933.68	2934.45	2868.81	2906.33	119796932	94836146176.000
03/15/2007	2905.98	2955.46	2905.98	2951.70	111138125	88219475968.000
03/16/2007	2964.09	2979.71	2899.03	2930.48	131176691	106075668480.000
03/19/2007	2864.26	3038.00	2852.86	3014.44	118317590	96289832960.000
03/20/2007	3024.78	3033.02	2998.80	3032.20	98048524	82556526592.000
03/21/2007	3042.10	3057.71	3020.95	3057.38	104018724	90144284672.000
03/22/2007	3080.60	3099.82	3059.38	3071.23	133498387	113908719616.000
03/23/2007	3071.81	3085.32	3008.15	3074.29	123793750	105497247744.000
03/26/2007	3083.94	3123.18	3069.47	3122.81	128004082	110761213952.000
03/27/2007	3126.02	3145.04	3103.78	3138.83	130171722	115033579520.000
03/28/2007	3140.68	3180.33	3052.08	3173.02	176485101	152751751168.000
03/29/2007	3179.80	3273.73	3176.53	3197.54	159332601	142145175552.000
03/30/2007	3178.50	3212.39	3157.03	3183.98	96053207	84162478080.000
04/02/2007	3196.59	3253.44	3196.59	3252.59	108277032	95220178944.000
04/03/2007	3265.68	3292.58	3251.52	3291.30	122608906	109697056768.000
04/04/2007	3295.98	3308.15	3266.56	3291.54	130668291	116640432128.000
04/05/2007	3286.16	3326.92	3259.63	3319.14	124487240	116256391168.000
04/06/2007	3287.68	3334.22	3273.85	3323.58	129058791	123596283904.000
04/09/2007	3333.42	3399.51	3333.26	3398.95	146916253	141501972480.000
04/10/2007	3405.23	3444.37	3351.10	3444.29	156472663	154384842752.000
04/11/2007	3454.42	3497.52	3428.78	3495.22	157105462	157818585088.000
04/12/2007	3503.23	3532.86	3488.08	3531.03	145027215	149932195840.000
04/13/2007	3537.22	3563.86	3504.16	3518.27	160138105	168092106752.000
04/16/2007	3523.22	3597.22	3523.22	3596.44	138165447	146758909952.000
04/17/2007	3611.63	3622.89	3510.50	3611.87	170124337	177817059328.000
04/18/2007	3614.68	3623.87	3564.23	3612.40	157569861	168657813504.000
04/19/2007	3610.02	3617.44	3358.93	3449.02	183034583	189529456640.000
04/20/2007	3460.90	3591.46	3460.90	3584.20	146076848	157389504512.000
04/23/2007	3615.79	3710.89	3615.79	3710.89	171334845	184489443328.000
04/24/2007	3736.15	3762.39	3689.13	3720.53	182650149	205423280128.000
04/25/2007	3708.57	3769.25	3653.99	3743.96	158326857	176718184448.000
04/26/2007	3766.48	3784.68	3732.60	3783.06	125989628	143743696896.000
04/27/2007	3788.75	3802.92	3720.60	3759.87	139387579	164222484480.000
04/30/2007	3784.27	3851.35	3759.48	3841.27	161432001	188655894528.000
05/08/2007	3937.94	3964.71	3901.33	3950.01	172703139	207415410688.000
05/09/2007	3961.10	4015.22	3875.38	4013.08	218562858	257233436672.000
05/10/2007	4021.42	4072.14	3991.48	4049.70	179749373	209468555264.000
05/11/2007	4024.42	4039.67	3949.37	4021.68	153198317	186251722752.000
05/14/2007	3970.66	4081.43	3940.36	4046.39	149498709	187320532992.000
05/15/2007	4055.83	4069.85	3891.36	3899.18	166526144	207435956224.000
05/16/2007	3890.81	3987.41	3845.23	3986.04	142199405	174469414912.000
05/17/2007	4002.49	4064.28	3983.00	4048.29	148792585	189552623616.000
05/18/2007	4041.39	4052.10	3999.17	4030.26	138247953	175144763392.000
05/21/2007	3902.35	4083.42	3892.98	4072.23	165329334	211353780224.000
05/22/2007	4091.14	4136.63	4086.82	4110.38	181476906	234563403776.000
05/23/2007	4125.43	4175.44	4093.92	4173.71	182091471	223044993024.000
05/24/2007	4188.68	4208.39	4089.39	4151.13	210286383	257214775296.000
05/25/2007	4133.19	4190.47	4111.26	4179.78	167487172	223580241920.000
05/28/2007	4221.58	4283.93	4215.24	4272.11	193538409	261066424320.000
